filename,group,treatment,day,mean_nucleus_area,std_nucleus_area,mean_eccentricity,num_objects,mean_nn_distance,std_nn_distance,mean_intensity,edge_mean,edge_std
G11_20x_G2_F1_T1,G11,1,1,2101.4306569343066,1881.9759396457894,0.6746211559230544,411,1206.614939642053,578.5184244727944,0.32580586846079457,0.020226479804798882,0.015422753052498739
G5_10x_G7_F4_T1,G5,1,1,1692.4083601286175,3588.202280383059,0.6475965655687229,311,1148.7346143969805,567.906623450624,0.516619037655432,0.025069360364029323,0.017979338284047682
G6_10x_G4_F4_T4,G6,4,1,2565.576923076923,3629.901494457867,0.6386837839482394,26,1025.3697719914367,691.4946708324708,0.4367769009131369,0.027231098068155782,0.023095896662674822
G4_10x_B6_F2_T2,G4,2,1,434.6896551724138,318.89022037623744,0.5004320459873741,116,1210.2206119575733,578.5729283214747,0.4724009268934878,0.03426206928253833,0.028243344805333692
G5_10x_D8_F4_T2,G5,2,1,1812.7753120665743,1490.025948819721,0.7056630664746839,721,1206.0240764309196,573.9990359361985,0.48150645802451236,0.030072479571754632,0.022035600881988117
G5_10x_D8_F1_T2,G5,2,1,1497.2307692307693,2149.082159023415,0.7305596984019386,429,1115.930329117207,569.4785367338031,0.4004310773620168,0.023659875796530085,0.01737630759731779
G4_10x_C6_F1_T3,G4,3,1,1048.8188803512624,633.6515983533717,0.7480462058399574,911,1181.170277663795,567.3707687513346,0.49948117012341875,0.03057789428881944,0.025537934546636245
G5_10x_G7_F3_T1,G5,1,1,1506.5584415584415,1522.0593917581302,0.6807244089887993,385,1180.4610941658048,574.526498783035,0.5362007520850015,0.02544153793554082,0.01776669411419781
G11_20x_D3_F1_T3,G11,3,1,3076.2412587412587,29227.24067414356,0.7158218759677722,572,1203.2693266068504,588.2718256248588,0.3657607485158617,0.024097711955676743,0.021675677622695955
G10_20x_G1_F1_T4,G10,4,1,1209.7539568345323,641.0537603317077,0.717380725377907,695,1169.8669027823466,563.9810098372708,0.27795343356260327,0.05791228238911336,0.05803694275778541
G5_10x_G9_F2_T5,G5,5,1,1032.4132553606237,1285.596385743508,0.7372363904999715,513,1191.7229813476245,589.498337792256,0.4446209972400771,0.02193734128825887,0.022314387090531886
G11_20x_F3_F1_T5,G11,5,1,1392.611749680715,1557.5145622798514,0.7665101440439102,783,1161.9106124323696,557.8402103933402,0.30614233776430805,0.022378422477152122,0.02047555733417371
G9_20x_A2_F1_T1,G9,1,2,856.793220338983,565.0377050158949,0.6648721382081474,295,1172.9971324511462,568.9934234631277,0.21934082703934427,0.0771000647425189,0.06864891046247629
G5_10x_D8_F3_T2,G5,2,1,1702.88199513382,1422.964000564351,0.7326362572973919,822,1191.7931704934815,570.5946157742046,0.426696808397349,0.022853554521053455,0.014440702104592947
G1_10x_C4_F5_T2,G1,2,1,1195.5087719298247,1046.3382620811415,0.7232964066464987,228,1161.9630356658338,562.200822152524,0.6613569443371623,0.026765489020945457,0.025337396794528698
